time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.02324	1	1	3	60	0.00724286
1.06624	1	1	3	111	0.00724286
1.06824	1	1	3	59	0.00724286
1.07024	1	1	3	56	0.00724286
1.09624	1	1	3	64	0.00224286
1.11324	1	2	3	60	0.00224286
1.13624	1	2	3	223	0.00224286
1.15931	1	2	3	445	0.00231428
1.18231	1	2	3	477	0.00231428
1.20546	1	1	3	366	0.00745714
1.2056	1	2	3	501	0.0026
1.21324	1	3	3	60	0.00224286
1.23724	1	3	3	167	0.00224286
1.23731	1	2	3	272	0.00231428
1.23924	1	3	3	56	0.00224286
1.23931	1	2	3	264	0.00231428
1.24224	1	1	3	111	0.00724286
1.24424	1	1	3	51	0.00724286
1.25024	1	1	3	80	0.00724286
1.25524	1	1	3	72	0.0112429
1.25824	1	3	3	445	0.00224286
1.27124	1	1	3	72	0.00724286
1.28031	1	1	3	191	0.00731428
1.28039	1	3	3	350	0.00238571
1.28124	1	3	3	128	0.00224286
1.30224	1	3	3	358	0.00224286
1.30324	1	3	3	144	0.00224286
1.31624	1	1	3	64	0.0162429
1.31631	1	4	3	60	0.00231428
1.32546	1	1	3	382	0.00845714
1.32553	1	3	3	239	0.00252857
1.32924	1	3	3	295	0.00224286
1.34831	1	4	3	223	0.00231428
1.35931	1	1	3	144	0.0133143
1.37946	1	1	3	358	0.0214571
1.38024	1	1	3	72	0.0202429
1.38046	1	4	3	445	0.00245714
1.38624	1	1	3	72	0.00724286
1.41324	3	1	3	60	0.00224286
1.41524	1	1	3	72	0.0282429
1.41546	1	4	3	414	0.00245714
1.41624	1	4	3	64	0.00224286
1.43324	3	1	3	167	0.00224286
1.43424	3	1	3	56	0.00224286
1.43724	1	4	3	72	0.00224286
1.44439	1	4	3	358	0.00238571
1.44524	1	4	3	72	0.00224286
1.44724	1	4	3	80	0.00224286
1.45524	3	1	3	445	0.00224286
1.47039	1	4	3	454	0.00238571
1.47124	1	4	3	64	0.00224286
1.48024	3	1	3	350	0.00224286
1.48124	3	1	3	128	0.00224286
1.50224	3	1	3	144	0.00224286
1.50453	1	1	3	501	0.00752857
1.50624	3	1	3	358	0.00724286
1.51324	3	2	3	60	0.00224286
1.52624	3	1	3	533	0.00224286
1.52724	3	2	3	56	0.00224286
1.53324	3	2	3	167	0.00224286
1.54124	3	2	3	128	0.00224286
1.54724	3	2	3	128	0.00224286
1.55324	3	2	3	390	0.00224286
1.55624	1	1	3	111	0.0122429
1.55924	3	2	3	215	0.00224286
1.56324	1	1	3	107	0.00724286
1.56524	3	2	3	128	0.00224286
1.57124	3	2	3	390	0.00224286
1.57724	3	2	3	152	0.00224286
1.58524	3	2	3	160	0.00224286
1.59124	3	2	3	231	0.00224286
1.59724	3	2	3	422	0.00224286
1.60524	3	2	3	144	0.00224286
1.61124	3	2	3	215	0.00224286
1.61724	3	2	3	191	0.00224286
1.62324	3	2	3	56	0.00224286
1.62924	3	2	3	56	0.00224286
1.63524	3	2	3	112	0.00224286
1.64124	3	2	3	56	0.00224286
1.64724	3	2	3	112	0.00224286
1.65324	3	2	3	56	0.00224286
1.65746	1	1	3	398	0.00745714
1.65924	3	2	3	56	0.00224286
1.66524	3	2	3	112	0.00224286
1.67124	3	2	3	56	0.00224286
1.67724	3	2	3	56	0.00224286
1.68324	3	2	3	112	0.00224286
1.68824	3	2	3	56	0.00224286
1.69424	3	2	3	112	0.00224286
1.70024	3	2	3	112	0.00224286
1.70224	1	1	3	80	0.00724286
1.70424	1	1	3	80	0.00724286
1.70524	1	1	3	80	0.00724286
1.70624	1	1	3	72	0.00724286
1.70824	3	2	3	56	0.00224286
1.71424	3	2	3	112	0.00224286
1.72024	1	1	3	72	0.00724286
1.72024	3	2	3	167	0.00224286
1.72824	3	2	3	56	0.00224286
1.73324	3	2	3	56	0.00224286
1.73924	3	2	3	239	0.00224286
1.74324	1	1	3	72	0.00924286
1.74724	3	2	3	128	0.00224286
1.75324	3	2	3	128	0.00224286
1.75924	3	2	3	374	0.00224286
1.76524	3	2	3	207	0.00224286
1.77124	3	2	3	144	0.00224286
1.77724	3	2	3	430	0.00224286
1.78324	3	2	3	64	0.00224286
1.79024	3	2	3	56	0.00224286
1.79624	3	2	3	167	0.00224286
1.80424	3	2	3	56	0.00224286
1.80924	3	2	3	56	0.00224286
1.81524	3	2	3	167	0.00224286
1.82324	3	2	3	56	0.00224286
1.82924	3	2	3	56	0.00224286
1.83039	1	1	3	319	0.00738571
1.83524	3	2	3	167	0.00224286
1.84324	3	2	3	56	0.00224286
1.84824	3	2	3	56	0.00224286
1.85424	3	2	3	167	0.00224286
1.86024	3	2	3	56	0.00224286
1.86824	3	2	3	56	0.00224286
1.87424	3	2	3	167	0.00224286
1.87624	1	1	3	80	0.00824286
1.88124	3	2	3	56	0.00224286
1.88331	1	1	3	223	0.00731428
1.88724	3	2	3	56	0.00224286
1.89324	3	2	3	167	0.00224286
1.89824	3	2	3	112	0.00224286
1.90724	3	2	3	56	0.00224286
1.91324	3	2	3	112	0.00224286
1.92124	3	2	3	128	0.00224286
1.92424	1	1	3	72	0.00724286
1.92724	3	2	3	191	0.00224286
1.93124	1	1	3	72	0.00824286
1.93324	3	2	3	191	0.00224286
1.93924	3	2	3	191	0.00224286
1.94024	1	1	3	72	0.0132429
1.94524	3	2	3	120	0.00224286
1.94824	1	1	3	72	0.00824286
1.95124	3	2	3	56	0.00224286
1.95724	3	2	3	112	0.00224286
1.96024	1	1	3	72	0.0102429
1.96324	3	2	3	56	0.00224286
1.96924	3	2	3	56	0.00224286
1.97524	3	2	3	112	0.00224286
1.98124	3	2	3	56	0.00224286
1.98724	3	2	3	112	0.00224286
1.99324	3	2	3	56	0.00224286
1.99924	3	2	3	56	0.00224286
2.00524	3	2	3	167	0.00224286
2.01224	3	2	3	56	0.00224286
2.01324	3	4	3	60	0.00224286
2.01924	3	2	3	56	0.00224286
2.02524	3	2	3	167	0.00224286
2.03224	3	2	3	56	0.00224286
2.03324	3	4	3	167	0.00224286
2.03424	3	4	3	56	0.00224286
2.03824	3	2	3	56	0.00224286
2.04424	3	2	3	167	0.00224286
2.04924	3	2	3	112	0.00224286
2.05824	3	4	3	318	0.00224286
2.05831	3	2	3	56	0.00231428
2.05924	3	4	3	128	0.00224286
2.06324	3	2	3	112	0.00224286
2.06639	1	1	3	239	0.00738571
2.07124	3	2	3	128	0.00224286
2.07724	3	2	3	255	0.00224286
2.07824	3	4	3	287	0.00224286
2.07924	3	4	3	191	0.00224286
2.08524	3	2	3	128	0.00224286
2.09124	3	2	3	191	0.00224286
2.09724	3	2	3	120	0.00224286
2.09824	3	4	3	287	0.00224286
2.10324	3	2	3	112	0.00224286
2.10424	3	4	3	215	0.00224286
2.10831	1	1	3	160	0.00731428
2.10924	3	2	3	56	0.00224286
2.11124	1	1	3	72	0.00724286
2.11524	3	2	3	56	0.00224286
2.11724	3	4	3	462	0.00224286
2.11824	3	4	3	72	0.00224286
2.12124	3	2	3	112	0.00224286
2.12724	3	2	3	56	0.00224286
2.13324	3	2	3	56	0.00224286
2.13924	3	2	3	112	0.00224286
2.14524	3	2	3	56	0.00224286
2.15124	1	1	3	72	0.00724286
2.15124	3	2	3	112	0.00224286
2.15724	3	2	3	56	0.00224286
2.15924	1	1	3	72	0.00724286
2.16324	3	2	3	56	0.00224286
2.16824	3	2	3	167	0.00224286
2.17224	1	1	3	72	0.00724286
2.17724	3	2	3	56	0.00224286
