time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.01303	1	1	3	58	0.0130286
1.03703	1	1	3	54	0.0137857
1.04903	1	1	3	1454	0.0257857
1.05003	1	1	3	1454	0.0267857
1.05103	1	1	3	1454	0.0277857
1.05203	1	1	3	1454	0.0287857
1.05803	1	1	3	1454	0.0347857
1.05903	1	1	3	1454	0.0357857
1.06003	1	1	3	1454	0.0367857
1.09103	1	1	3	1454	0.0247857
1.10803	1	2	3	58	0.00802856
1.12203	1	2	3	54	0.00878571
1.12803	1	2	3	1454	0.0147857
1.12903	1	2	3	1454	0.0157857
1.12903	1	2	3	1454	0.0157857
1.13003	1	2	3	1454	0.0167857
1.13003	1	2	3	1454	0.0167857
1.13103	1	2	3	1454	0.0177857
1.13103	1	2	3	1454	0.0177857
1.15103	1	2	3	1454	0.0147857
1.15203	1	2	3	1454	0.0157857
1.15203	1	2	3	1454	0.0157857
1.15303	1	2	3	1454	0.0167857
1.15303	1	2	3	1454	0.0167857
1.15403	1	2	3	1454	0.0177857
1.15403	1	2	3	1454	0.0177857
1.17403	1	2	3	1454	0.0147143
1.17503	1	2	3	1454	0.0157143
1.17503	1	2	3	1454	0.0157143
1.17603	1	2	3	1454	0.0167143
1.17603	1	2	3	1454	0.0167143
1.17703	1	2	3	1454	0.0177143
1.17703	1	2	3	1454	0.0177143
1.19403	1	1	3	1454	0.125786
1.19403	1	1	3	1454	0.125786
1.19403	1	1	3	1454	0.125786
1.19403	1	1	3	1454	0.125786
1.19403	1	1	3	1454	0.0977857
1.19703	1	2	3	1454	0.0147143
1.19796	1	2	3	1454	0.0156429
1.19796	1	2	3	1454	0.0156429
1.19903	1	2	3	1454	0.0167143
1.19903	1	2	3	1454	0.0167143
1.20003	1	2	3	1454	0.0177143
1.20003	1	2	3	1454	0.0177143
1.20803	1	3	3	58	0.00802856
1.22003	1	2	3	1454	0.0144286
1.22103	1	2	3	1454	0.0154286
1.22103	1	2	3	1454	0.0154286
1.22196	1	2	3	1454	0.0163571
1.22196	1	2	3	1454	0.0163571
1.22203	1	3	3	54	0.00878571
1.22303	1	2	3	1454	0.0174286
1.22303	1	2	3	1454	0.0174286
1.22803	1	3	3	1454	0.0147857
1.22903	1	3	3	1454	0.0157857
1.22903	1	3	3	1454	0.0157857
1.23003	1	1	3	1454	0.0245714
1.2306	1	3	3	1454	0.0173571
1.2306	1	3	3	1454	0.0173571
1.2316	1	3	3	1454	0.0183571
1.23203	1	1	3	1454	0.0265714
1.23303	1	3	3	1454	0.0197857
1.23803	1	1	3	1454	0.0325714
1.24103	1	1	3	1454	0.0355714
1.25196	1	3	3	1454	0.0147143
1.25196	1	3	3	1454	0.0147143
1.25196	1	3	3	1454	0.0147143
1.25303	1	3	3	1454	0.0157857
1.25303	1	3	3	1454	0.0157857
1.25303	1	3	3	1454	0.0157857
1.25303	1	3	3	1454	0.0157857
1.26003	1	1	3	1454	0.0177857
1.26203	1	1	3	1454	0.0177857
1.26903	1	1	3	1454	0.0187857
1.27003	1	1	3	1454	0.0147857
1.27403	1	3	3	1454	0.0157857
1.27403	1	3	3	1454	0.0157857
1.27503	1	3	3	1454	0.0167857
1.27503	1	3	3	1454	0.0167857
1.27503	1	3	3	1454	0.0167857
1.27603	1	3	3	1454	0.0177857
1.27603	1	3	3	1454	0.0177857
1.29103	1	1	3	1454	0.0197857
1.29503	1	3	3	1454	0.0146429
1.29503	1	3	3	1454	0.0146429
1.29503	1	3	3	1454	0.0146429
1.29603	1	3	3	1454	0.0156429
1.29603	1	3	3	1454	0.0156429
1.29803	1	3	3	1454	0.0176429
1.29803	1	3	3	1454	0.0167857
1.30203	1	1	3	1454	0.0217143
1.30303	1	1	3	1454	0.0227143
1.30403	1	1	3	1454	0.0237143
