time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.02324	1	1	3	58	0.00821397
1.06624	1	1	3	54	0.0152116
1.06824	1	1	3	54	0.0152116
1.06824	1	1	3	54	0.00821163
1.07024	1	1	3	54	0.00821163
1.09624	1	1	3	62	0.00321162
1.11324	1	2	3	58	0.00321397
1.13624	1	2	3	54	0.00621163
1.13624	1	2	3	54	0.00521044
1.13624	1	2	3	54	0.00421044
1.13624	1	2	3	54	0.00321044
1.15931	1	2	3	62	0.00628305
1.15931	1	2	3	62	0.00528305
1.15931	1	2	3	62	0.00528185
1.15931	1	2	3	62	0.00428305
1.15931	1	2	3	62	0.00428185
1.15931	1	2	3	62	0.00328305
1.15931	1	2	3	62	0.00328185
1.18231	1	2	3	70	0.00628303
1.18231	1	2	3	70	0.00528303
1.18231	1	2	3	70	0.00528184
1.18231	1	2	3	70	0.00428303
1.18231	1	2	3	62	0.00428185
1.18231	1	2	3	62	0.00328305
1.18231	1	2	3	62	0.00328185
1.20546	1	1	3	70	0.00942589
1.20546	1	1	3	70	0.00942469
1.20546	1	1	3	70	0.0094235
1.20546	1	1	3	70	0.0094223
1.20546	1	1	3	78	0.0094211
1.2056	1	2	3	70	0.00656874
1.2056	1	2	3	70	0.00564017
1.2056	1	2	3	70	0.00563898
1.2056	1	2	3	70	0.00456874
1.2056	1	2	3	70	0.00456755
1.2056	1	2	3	70	0.00356874
1.2056	1	2	3	70	0.00356755
1.21324	1	3	3	58	0.00321397
1.23724	1	3	3	54	0.00721163
1.23724	1	3	3	54	0.00621044
1.23724	1	3	3	54	0.004639
1.23731	1	2	3	78	0.015283
1.23731	1	2	3	78	0.014283
1.23731	1	2	3	78	0.0142818
1.23924	1	3	3	54	0.00421163
1.23931	1	2	3	78	0.0153544
1.23931	1	2	3	70	0.0153533
1.23931	1	2	3	70	0.014283
1.23931	1	2	3	70	0.0142818
1.24224	1	1	3	78	0.0102116
1.24424	1	1	3	78	0.0102116
1.25024	1	1	3	78	0.0102116
1.25524	1	1	3	70	0.0122116
1.25824	1	3	3	62	0.00428305
1.25824	1	3	3	62	0.00428185
1.25824	1	3	3	62	0.00428066
1.25824	1	3	3	62	0.00321162
1.25824	1	3	3	62	0.00321042
1.25824	1	3	3	62	0.00320923
1.25824	1	3	3	62	0.00320803
1.27124	1	1	3	70	0.0092116
1.28031	1	1	3	62	0.016283
1.28031	1	1	3	62	0.00928305
1.28031	1	1	3	62	0.00828305
1.28039	1	3	3	70	0.00435446
1.28039	1	3	3	70	0.00435327
1.28039	1	3	3	70	0.00335446
1.28039	1	3	3	70	0.00335327
1.28039	1	3	3	62	0.00335208
1.28124	1	3	3	62	0.00321162
1.28124	1	3	3	62	0.00321042
1.30224	1	3	3	70	0.0052116
1.30224	1	3	3	70	0.00521041
