Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.0369286	gNB PHY Rxed	3	6	0	1	0	0	SRS
0.0449286	gNB PHY Rxed	4	4	0	3	0	0	SRS
0.0489286	gNB PHY Rxed	4	8	0	3	0	0	SRS
0.0519286	gNB PHY Rxed	5	1	0	1	0	0	SRS
0.0629286	gNB PHY Rxed	6	2	0	1	0	0	SRS
0.0779286	gNB PHY Rxed	7	7	0	1	0	0	SRS
0.0809286	gNB PHY Rxed	8	0	0	1	0	0	SRS
0.0839286	gNB PHY Rxed	8	3	0	3	0	0	SRS
0.0969286	gNB PHY Rxed	9	6	0	1	0	0	SRS
0.0969286	gNB PHY Rxed	9	6	0	3	0	0	SRS
0.116929	gNB PHY Rxed	11	6	0	1	0	0	SRS
0.124929	gNB PHY Rxed	12	4	0	3	0	0	SRS
0.128929	gNB PHY Rxed	12	8	0	3	0	0	SRS
0.131929	gNB PHY Rxed	13	1	0	1	0	0	SRS
0.142929	gNB PHY Rxed	14	2	0	1	0	0	SRS
0.157929	gNB PHY Rxed	15	7	0	1	0	0	SRS
0.160929	gNB PHY Rxed	16	0	0	1	0	0	SRS
0.163929	gNB PHY Rxed	16	3	0	3	0	0	SRS
0.176929	gNB PHY Rxed	17	6	0	1	0	0	SRS
0.176929	gNB PHY Rxed	17	6	0	3	0	0	SRS
0.196929	gNB PHY Rxed	19	6	0	1	0	0	SRS
0.204929	gNB PHY Rxed	20	4	0	3	0	0	SRS
0.208929	gNB PHY Rxed	20	8	0	3	0	0	SRS
0.211929	gNB PHY Rxed	21	1	0	1	0	0	SRS
0.222929	gNB PHY Rxed	22	2	0	1	0	0	SRS
0.237929	gNB PHY Rxed	23	7	0	1	0	0	SRS
0.240929	gNB PHY Rxed	24	0	0	1	0	0	SRS
0.243929	gNB PHY Rxed	24	3	0	3	0	0	SRS
0.256929	gNB PHY Rxed	25	6	0	1	0	0	SRS
0.256929	gNB PHY Rxed	25	6	0	3	0	0	SRS
0.276929	gNB PHY Rxed	27	6	0	1	0	0	SRS
0.284929	gNB PHY Rxed	28	4	0	3	0	0	SRS
0.288929	gNB PHY Rxed	28	8	0	3	0	0	SRS
0.291929	gNB PHY Rxed	29	1	0	1	0	0	SRS
0.302929	gNB PHY Rxed	30	2	0	1	0	0	SRS
0.317929	gNB PHY Rxed	31	7	0	1	0	0	SRS
0.320929	gNB PHY Rxed	32	0	0	1	0	0	SRS
0.323929	gNB PHY Rxed	32	3	0	3	0	0	SRS
0.336929	gNB PHY Rxed	33	6	0	1	0	0	SRS
0.336929	gNB PHY Rxed	33	6	0	3	0	0	SRS
0.356929	gNB PHY Rxed	35	6	0	1	0	0	SRS
0.364929	gNB PHY Rxed	36	4	0	3	0	0	SRS
0.368929	gNB PHY Rxed	36	8	0	3	0	0	SRS
0.371929	gNB PHY Rxed	37	1	0	1	0	0	SRS
0.382929	gNB PHY Rxed	38	2	0	1	0	0	SRS
0.397929	gNB PHY Rxed	39	7	0	1	0	0	SRS
0.400929	gNB PHY Rxed	40	0	0	1	0	0	SRS
0.403929	gNB PHY Rxed	40	3	0	3	0	0	SRS
0.416929	gNB PHY Rxed	41	6	0	1	0	0	SRS
0.416929	gNB PHY Rxed	41	6	0	3	0	0	SRS
0.436929	gNB PHY Rxed	43	6	0	1	0	0	SRS
0.444929	gNB PHY Rxed	44	4	0	3	0	0	SRS
