time(s)	cellId	rnti	lcid	packetSize
1.016	1	1	3	60
1.059	1	1	3	111
1.061	1	1	3	59
1.063	1	1	3	56
1.094	1	1	3	64
1.111	1	2	3	60
1.134	1	2	3	223
1.157	1	2	3	445
1.18	1	2	3	477
1.198	1	1	3	366
1.203	1	2	3	501
1.211	1	3	3	60
1.235	1	3	3	167
1.235	1	2	3	272
1.235	1	1	3	111
1.237	1	3	3	56
1.237	1	2	3	264
1.237	1	1	3	51
1.243	1	1	3	80
1.244	1	1	3	72
1.256	1	3	3	445
1.264	1	1	3	72
1.273	1	1	3	191
1.278	1	3	3	350
1.279	1	3	3	128
1.3	1	3	3	358
1.3	1	1	3	64
1.301	1	3	3	144
1.314	1	4	3	60
1.317	1	1	3	382
1.323	1	3	3	239
1.327	1	3	3	295
1.346	1	4	3	223
1.346	1	1	3	144
1.358	1	1	3	358
1.36	1	1	3	72
1.378	1	4	3	445
1.379	1	1	3	72
1.387	1	1	3	72
1.411	3	1	3	60
1.413	1	4	3	414
1.414	1	4	3	64
1.431	3	1	3	167
1.432	3	1	3	56
1.435	1	4	3	72
1.442	1	4	3	358
1.443	1	4	3	72
1.445	1	4	3	80
1.453	3	1	3	445
1.468	1	4	3	454
1.469	1	4	3	64
1.478	3	1	3	350
1.479	3	1	3	128
1.497	1	1	3	501
1.499	3	1	3	358
1.5	3	1	3	144
1.511	3	2	3	60
1.524	3	1	3	533
1.525	3	2	3	56
1.531	3	2	3	167
1.539	3	2	3	128
1.544	1	1	3	111
1.545	3	2	3	128
1.551	3	2	3	390
1.556	1	1	3	107
1.557	3	2	3	215
1.563	3	2	3	128
1.569	3	2	3	390
1.575	3	2	3	152
1.583	3	2	3	160
1.589	3	2	3	231
1.595	3	2	3	422
1.603	3	2	3	144
1.609	3	2	3	215
1.615	3	2	3	191
1.621	3	2	3	56
1.627	3	2	3	56
1.633	3	2	3	112
1.639	3	2	3	56
1.645	3	2	3	112
1.65	1	1	3	398
1.651	3	2	3	56
1.657	3	2	3	56
1.663	3	2	3	112
1.669	3	2	3	56
1.675	3	2	3	56
1.681	3	2	3	112
1.686	3	2	3	56
1.692	3	2	3	112
1.695	1	1	3	80
1.697	1	1	3	80
1.698	1	1	3	80
1.698	3	2	3	112
1.699	1	1	3	72
1.706	3	2	3	56
1.712	3	2	3	112
1.713	1	1	3	72
1.718	3	2	3	167
1.726	3	2	3	56
1.731	3	2	3	56
1.734	1	1	3	72
1.737	3	2	3	239
1.745	3	2	3	128
1.751	3	2	3	128
1.757	3	2	3	374
1.763	3	2	3	207
1.769	3	2	3	144
1.775	3	2	3	430
1.781	3	2	3	64
1.788	3	2	3	56
1.794	3	2	3	167
1.802	3	2	3	56
1.807	3	2	3	56
1.813	3	2	3	167
1.821	3	2	3	56
1.823	1	1	3	319
1.827	3	2	3	56
1.833	3	2	3	167
1.841	3	2	3	56
1.846	3	2	3	56
1.852	3	2	3	167
1.858	3	2	3	56
1.866	3	2	3	56
1.868	1	1	3	80
1.872	3	2	3	167
1.876	1	1	3	223
1.879	3	2	3	56
1.885	3	2	3	56
1.891	3	2	3	167
1.896	3	2	3	112
1.905	3	2	3	56
1.911	3	2	3	112
1.917	1	1	3	72
1.919	3	2	3	128
1.923	1	1	3	72
1.925	3	2	3	191
1.927	1	1	3	72
1.931	3	2	3	191
1.937	3	2	3	191
1.94	1	1	3	72
1.943	3	2	3	120
1.949	3	2	3	56
1.95	1	1	3	72
1.955	3	2	3	112
1.961	3	2	3	56
1.967	3	2	3	56
1.973	3	2	3	112
1.979	3	2	3	56
1.985	3	2	3	112
1.991	3	2	3	56
1.997	3	2	3	56
2.003	3	2	3	167
2.01	3	2	3	56
2.011	3	4	3	60
2.017	3	2	3	56
2.023	3	2	3	167
2.03	3	2	3	56
2.031	3	4	3	167
2.032	3	4	3	56
2.036	3	2	3	56
2.042	3	2	3	167
2.047	3	2	3	112
2.056	3	4	3	318
2.056	3	2	3	56
2.057	3	4	3	128
2.059	1	1	3	239
2.061	3	2	3	112
2.069	3	2	3	128
2.075	3	2	3	255
2.076	3	4	3	287
2.077	3	4	3	191
2.083	3	2	3	128
2.089	3	2	3	191
2.095	3	2	3	120
2.096	3	4	3	287
2.101	1	1	3	160
2.101	3	2	3	112
2.102	3	4	3	215
2.104	1	1	3	72
2.107	3	2	3	56
2.113	3	2	3	56
2.115	3	4	3	462
2.116	3	4	3	72
2.119	3	2	3	112
2.125	3	2	3	56
2.131	3	2	3	56
2.137	3	2	3	112
2.143	3	2	3	56
2.144	1	1	3	72
2.149	3	2	3	112
2.152	1	1	3	72
2.155	3	2	3	56
2.161	3	2	3	56
2.165	1	1	3	72
2.166	3	2	3	167
2.171	1	1	3	72
2.173	1	1	3	72
2.175	3	2	3	56
2.181	3	2	3	167
2.189	3	2	3	128
2.195	3	2	3	191
2.198	1	1	3	72
2.2	1	1	3	72
2.201	1	1	3	72
2.201	3	2	3	382
2.202	1	2	3	64
2.209	3	2	3	56
2.215	3	2	3	112
2.221	3	2	3	112
2.229	3	2	3	128
2.233	1	2	3	120
2.235	1	1	3	72
2.235	3	2	3	128
2.236	1	1	3	72
2.238	1	1	3	72
2.241	3	2	3	191
2.246	3	2	3	128
2.255	3	2	3	56
2.258	1	2	3	64
2.261	3	2	3	112
2.263	1	2	3	56
2.269	3	2	3	56
2.271	1	1	3	72
2.272	1	1	3	72
2.275	3	2	3	56
2.281	1	2	3	56
2.281	3	2	3	56
2.282	1	2	3	56
2.287	3	2	3	112
2.295	3	2	3	56
2.301	3	2	3	56
2.306	1	3	3	64
2.306	1	2	3	167
2.307	3	2	3	56
2.313	3	2	3	112
2.319	3	2	3	56
2.326	3	2	3	56
2.331	3	2	3	112
2.334	1	3	3	120
2.334	1	2	3	167
2.334	1	1	3	111
2.335	1	2	3	56
2.335	1	1	3	11
2.337	3	2	3	56
2.343	3	2	3	112
2.349	3	2	3	56
2.355	3	2	3	56
2.361	3	2	3	112
2.367	3	2	3	56
2.369	1	3	3	120
2.37	1	2	3	167
2.373	3	2	3	56
2.374	1	1	3	56
2.379	3	2	3	167
2.387	3	2	3	56
2.393	3	2	3	56
2.399	1	3	3	112
2.399	1	2	3	382
2.399	3	2	3	167
2.405	3	2	3	112
2.413	3	2	3	56
2.419	3	2	3	167
2.425	3	2	3	128
2.426	1	2	3	302
2.426	1	1	3	111
2.427	1	1	3	3
2.433	3	2	3	128
2.438	1	4	3	56
2.439	3	2	3	382
2.445	3	2	3	183
2.449	1	3	3	167
2.449	1	2	3	128
2.451	3	2	3	128
2.457	3	2	3	390
2.463	3	2	3	207
2.471	3	2	3	128
2.476	1	4	3	56
2.476	1	3	3	167
2.476	1	2	3	318
2.476	1	1	3	56
2.477	3	2	3	183
2.483	3	2	3	56
2.488	1	1	3	111
2.489	3	2	3	112
2.495	3	2	3	112
2.502	3	2	3	56
2.503	3	1	3	64
2.507	1	3	3	223
2.508	1	2	3	112
2.508	1	1	3	3
2.509	3	2	3	56
2.51	1	4	3	56
2.514	1	1	3	56
2.514	3	2	3	56
2.52	3	2	3	112
2.523	3	1	3	120
2.527	3	2	3	56
2.534	3	2	3	56
2.54	3	2	3	56
2.543	3	1	3	120
2.546	3	2	3	112
2.554	1	4	3	56
2.554	1	3	3	167
2.554	1	2	3	112
2.554	3	2	3	56
2.556	1	1	3	111
2.557	1	1	3	3
2.56	1	4	3	56
2.56	3	2	3	56
2.563	3	1	3	112
2.566	3	2	3	112
2.572	3	2	3	56
2.58	3	2	3	56
2.586	3	2	3	167
2.588	3	1	3	167
2.594	1	3	3	382
2.594	1	2	3	112
2.594	3	2	3	56
2.6	3	2	3	56
2.606	1	4	3	111
2.606	1	1	3	167
2.606	3	2	3	167
2.613	3	2	3	56
2.613	3	1	3	167
2.614	3	1	3	56
2.616	1	4	3	59
2.616	1	2	3	167
2.62	1	1	3	56
2.62	3	2	3	56
2.624	1	3	3	302
2.626	3	2	3	167
2.633	3	2	3	56
2.638	3	1	3	167
2.64	3	2	3	56
2.646	3	2	3	167
2.652	3	2	3	112
2.653	1	4	3	155
2.653	1	3	3	255
2.653	1	2	3	167
2.661	3	2	3	56
2.663	3	1	3	318
2.664	3	1	3	64
2.667	3	2	3	112
2.675	3	2	3	128
2.681	3	2	3	128
2.684	1	4	3	316
2.684	1	3	3	247
2.684	1	2	3	167
2.684	1	1	3	167
2.687	3	2	3	191
2.687	3	1	3	247
2.689	1	4	3	106
2.689	3	1	3	56
2.693	3	2	3	191
