time(s)	cellId	rnti	lcid	packetSize
1.01503	1	1	3	58
1.05103	1	1	3	54
1.05303	1	1	3	54
1.06003	1	1	3	54
1.06203	1	1	3	54
1.09303	1	1	3	62
1.11003	1	2	3	58
1.13003	1	2	3	54
1.13103	1	2	3	54
1.13203	1	2	3	54
1.13303	1	2	3	54
1.15303	1	2	3	62
1.15403	1	2	3	62
1.15403	1	2	3	62
1.15503	1	2	3	62
1.15503	1	2	3	62
1.15603	1	2	3	62
1.15603	1	2	3	62
1.17603	1	2	3	70
1.17703	1	2	3	70
1.17703	1	2	3	70
1.17803	1	2	3	70
1.17803	1	2	3	62
1.17903	1	2	3	62
1.17903	1	2	3	62
1.19603	1	1	3	70
1.19603	1	1	3	70
1.19603	1	1	3	70
1.19603	1	1	3	70
1.19604	1	1	3	78
1.19903	1	2	3	70
1.19996	1	2	3	70
1.19996	1	2	3	70
1.20103	1	2	3	70
1.20103	1	2	3	70
1.20203	1	2	3	70
1.20203	1	2	3	70
1.21003	1	3	3	58
1.22203	1	2	3	78
1.22303	1	2	3	78
1.22303	1	2	3	78
1.22396	1	2	3	78
1.22396	1	2	3	70
1.22503	1	2	3	70
1.22503	1	2	3	70
1.23003	1	3	3	54
1.23103	1	3	3	54
1.23203	1	1	3	78
1.2326	1	3	3	54
1.23403	1	1	3	78
1.23503	1	3	3	54
1.24003	1	1	3	78
1.24303	1	1	3	70
1.25396	1	3	3	62
1.25396	1	3	3	62
1.25396	1	3	3	62
1.25503	1	3	3	62
1.25503	1	3	3	62
1.25503	1	3	3	62
1.25503	1	3	3	62
1.26203	1	1	3	70
1.26403	1	1	3	62
1.27103	1	1	3	62
1.27203	1	1	3	62
1.27603	1	3	3	70
1.27603	1	3	3	70
1.27703	1	3	3	70
1.27703	1	3	3	70
1.27703	1	3	3	62
1.27803	1	3	3	62
1.27803	1	3	3	62
1.29303	1	1	3	62
1.29703	1	3	3	70
1.29703	1	3	3	70
1.29703	1	3	3	70
1.29803	1	3	3	70
1.29803	1	3	3	70
1.30003	1	3	3	70
1.30003	1	3	3	70
1.30403	1	1	3	62
1.30503	1	1	3	62
1.30603	1	1	3	62
1.30703	1	1	3	62
1.31003	1	4	3	58
1.31303	1	1	3	62
1.31403	1	1	3	62
1.32003	1	3	3	78
