Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
1.01807	DL DCI Rxed	101	8	0	1	1	0	15	2
1.02093	HARQ FD Txed	102	0	0	1	1	0	15	2
1.02307	DL DCI Rxed	102	3	0	1	1	0	15	2
1.02593	HARQ FD Txed	102	5	0	1	1	0	15	2
1.06107	DL DCI Rxed	106	1	0	1	1	0	15	2
1.06307	DL DCI Rxed	106	3	0	1	1	0	14	2
1.06393	HARQ FD Txed	106	3	0	1	1	0	15	2
1.06507	DL DCI Rxed	106	5	0	1	1	0	13	2
1.06593	HARQ FD Txed	106	5	0	1	1	0	14	2
1.06607	DL DCI Rxed	106	6	0	1	1	0	15	2
1.06793	HARQ FD Txed	106	7	0	1	1	0	13	2
1.06807	DL DCI Rxed	106	8	0	1	1	0	14	2
1.06893	HARQ FD Txed	106	8	0	1	1	0	15	2
1.07007	DL DCI Rxed	107	0	0	1	1	0	13	2
1.07093	HARQ FD Txed	107	0	0	1	1	0	14	2
1.07293	HARQ FD Txed	107	2	0	1	1	0	13	2
1.09607	DL DCI Rxed	109	6	0	1	1	0	15	2
1.09893	HARQ FD Txed	109	8	0	1	1	0	15	2
1.11307	DL DCI Rxed	111	3	0	1	2	0	15	2
1.11593	HARQ FD Txed	111	5	0	1	2	0	15	2
1.13607	DL DCI Rxed	113	6	0	1	2	0	15	2
1.13893	HARQ FD Txed	113	8	0	1	2	0	15	2
1.15907	DL DCI Rxed	115	9	0	1	2	0	15	2
1.16193	HARQ FD Txed	116	1	0	1	2	0	15	2
1.18207	DL DCI Rxed	118	2	0	1	2	0	15	2
1.18493	HARQ FD Txed	118	4	0	1	2	0	15	2
1.20007	DL DCI Rxed	120	0	0	1	1	0	15	2
1.20293	HARQ FD Txed	120	2	0	1	1	0	15	2
1.20507	DL DCI Rxed	120	5	0	1	1	0	15	2
1.20507	DL DCI Rxed	120	5	0	1	2	0	15	2
1.20793	HARQ FD Txed	120	7	0	1	1	0	15	2
1.20793	HARQ FD Txed	120	7	0	1	2	0	15	2
1.21307	DL DCI Rxed	121	3	0	1	3	0	15	2
1.21593	HARQ FD Txed	121	5	0	1	3	0	15	2
1.23707	DL DCI Rxed	123	7	0	1	1	0	15	2
1.23707	DL DCI Rxed	123	7	0	1	2	0	15	2
1.23707	DL DCI Rxed	123	7	0	1	3	0	15	2
1.23907	DL DCI Rxed	123	9	0	1	1	0	14	2
1.23907	DL DCI Rxed	123	9	0	1	2	0	14	2
1.23907	DL DCI Rxed	123	9	0	1	3	0	14	2
1.23993	HARQ FD Txed	123	9	0	1	3	0	15	2
1.23993	HARQ FD Txed	123	9	0	1	2	0	15	2
1.23993	HARQ FD Txed	123	9	0	1	1	0	15	2
1.24193	HARQ FD Txed	124	1	0	1	3	0	14	2
1.24193	HARQ FD Txed	124	1	0	1	2	0	14	2
1.24193	HARQ FD Txed	124	1	0	1	1	0	14	2
1.24207	DL DCI Rxed	124	2	0	1	1	0	15	2
1.24407	DL DCI Rxed	124	4	0	1	1	0	14	2
1.24493	HARQ FD Txed	124	4	0	1	1	0	15	2
1.24507	DL DCI Rxed	124	5	0	1	1	0	13	2
1.24607	DL DCI Rxed	124	6	0	1	1	0	12	2
1.24693	HARQ FD Txed	124	6	0	1	1	0	14	2
1.24793	HARQ FD Txed	124	7	0	1	1	0	13	2
1.24893	HARQ FD Txed	124	8	0	1	1	0	12	2
1.25007	DL DCI Rxed	125	0	0	1	1	0	13	2
1.25293	HARQ FD Txed	125	2	0	1	1	0	13	2
1.25507	DL DCI Rxed	125	5	0	1	1	0	12	2
1.25793	HARQ FD Txed	125	7	0	1	1	0	12	2
1.25807	DL DCI Rxed	125	8	0	1	3	0	15	2
1.26093	HARQ FD Txed	126	0	0	1	3	0	15	2
1.26607	DL DCI Rxed	126	6	0	1	1	0	15	2
1.26893	HARQ FD Txed	126	8	0	1	1	0	15	2
1.27107	DL DCI Rxed	127	1	0	1	1	0	15	2
1.27393	HARQ FD Txed	127	3	0	1	1	0	15	2
1.27507	DL DCI Rxed	127	5	0	1	1	0	14	2
1.27793	HARQ FD Txed	127	7	0	1	1	0	14	2
1.28007	DL DCI Rxed	128	0	0	1	1	0	14	2
1.28007	DL DCI Rxed	128	0	0	1	3	0	15	2
1.28107	DL DCI Rxed	128	1	0	1	3	0	14	2
1.28293	HARQ FD Txed	128	2	0	1	1	0	14	2
1.28293	HARQ FD Txed	128	2	0	1	3	0	15	2
1.28393	HARQ FD Txed	128	3	0	1	3	0	14	2
1.30207	DL DCI Rxed	130	2	0	1	1	0	15	2
1.30207	DL DCI Rxed	130	2	0	1	3	0	15	2
1.30307	DL DCI Rxed	130	3	0	1	3	0	14	2
1.30493	HARQ FD Txed	130	4	0	1	3	0	15	2
1.30493	HARQ FD Txed	130	4	0	1	1	0	15	2
1.30593	HARQ FD Txed	130	5	0	1	3	0	14	2
1.31607	DL DCI Rxed	131	6	0	1	1	0	15	2
1.31607	DL DCI Rxed	131	6	0	1	4	0	15	2
1.31893	HARQ FD Txed	131	8	0	1	1	0	15	2
1.31893	HARQ FD Txed	131	8	0	1	4	0	15	2
1.31907	DL DCI Rxed	131	9	0	1	1	0	14	2
1.32193	HARQ FD Txed	132	1	0	1	1	0	14	2
1.32507	DL DCI Rxed	132	5	0	1	1	0	14	2
1.32507	DL DCI Rxed	132	5	0	1	3	0	15	2
1.32793	HARQ FD Txed	132	7	0	1	3	0	15	2
1.32793	HARQ FD Txed	132	7	0	1	1	0	14	2
1.32907	DL DCI Rxed	132	9	0	1	3	0	14	2
1.33193	HARQ FD Txed	133	1	0	1	3	0	14	2
1.34807	DL DCI Rxed	134	8	0	1	1	0	15	2
1.34807	DL DCI Rxed	134	8	0	1	4	0	15	2
1.35093	HARQ FD Txed	135	0	0	1	4	0	15	2
1.35093	HARQ FD Txed	135	0	0	1	1	0	15	2
1.35907	DL DCI Rxed	135	9	0	1	1	0	15	2
1.36007	DL DCI Rxed	136	0	0	1	1	0	14	2
1.36193	HARQ FD Txed	136	1	0	1	1	0	15	2
1.36207	DL DCI Rxed	136	2	0	1	1	0	13	2
1.36293	HARQ FD Txed	136	2	0	1	1	0	14	2
1.36493	HARQ FD Txed	136	4	0	1	1	0	13	2
1.37907	DL DCI Rxed	137	9	0	1	1	0	14	2
1.38007	DL DCI Rxed	138	0	0	1	1	0	13	2
1.38007	DL DCI Rxed	138	0	0	1	4	0	15	2
1.38107	DL DCI Rxed	138	1	0	1	1	0	15	2
1.38193	HARQ FD Txed	138	1	0	1	1	0	14	2
1.38293	HARQ FD Txed	138	2	0	1	4	0	15	2
1.38293	HARQ FD Txed	138	2	0	1	1	0	13	2
1.38393	HARQ FD Txed	138	3	0	1	1	0	15	2
1.38607	DL DCI Rxed	138	6	0	1	1	0	15	2
1.38893	HARQ FD Txed	138	8	0	1	1	0	15	2
1.38907	DL DCI Rxed	138	9	0	1	1	0	14	2
1.39193	HARQ FD Txed	139	1	0	1	1	0	14	2
1.41307	DL DCI Rxed	141	3	0	3	1	0	15	2
1.41507	DL DCI Rxed	141	5	0	1	1	0	14	2
1.41507	DL DCI Rxed	141	5	0	1	4	0	15	2
1.41593	HARQ FD Txed	141	5	0	3	1	0	15	2
1.41607	DL DCI Rxed	141	6	0	1	4	0	14	2
1.41793	HARQ FD Txed	141	7	0	1	4	0	15	2
1.41793	HARQ FD Txed	141	7	0	1	1	0	14	2
1.41893	HARQ FD Txed	141	8	0	1	4	0	14	2
1.43307	DL DCI Rxed	143	3	0	3	1	0	15	2
1.43407	DL DCI Rxed	143	4	0	3	1	0	14	2
1.43593	HARQ FD Txed	143	5	0	3	1	0	15	2
1.43693	HARQ FD Txed	143	6	0	3	1	0	14	2
1.43707	DL DCI Rxed	143	7	0	1	4	0	15	2
1.43993	HARQ FD Txed	143	9	0	1	4	0	15	2
1.44407	DL DCI Rxed	144	4	0	1	4	0	15	2
1.44507	DL DCI Rxed	144	5	0	1	4	0	14	2
1.44693	HARQ FD Txed	144	6	0	1	4	0	15	2
1.44707	DL DCI Rxed	144	7	0	1	4	0	13	2
1.44793	HARQ FD Txed	144	7	0	1	4	0	14	2
1.44993	HARQ FD Txed	144	9	0	1	4	0	13	2
1.45507	DL DCI Rxed	145	5	0	3	1	0	15	2
1.45793	HARQ FD Txed	145	7	0	3	1	0	15	2
1.47007	DL DCI Rxed	147	0	0	1	4	0	15	2
1.47107	DL DCI Rxed	147	1	0	1	4	0	14	2
1.47293	HARQ FD Txed	147	2	0	1	4	0	15	2
1.47393	HARQ FD Txed	147	3	0	1	4	0	14	2
1.48007	DL DCI Rxed	148	0	0	3	1	0	15	2
1.48107	DL DCI Rxed	148	1	0	3	1	0	14	2
1.48293	HARQ FD Txed	148	2	0	3	1	0	15	2
1.48393	HARQ FD Txed	148	3	0	3	1	0	14	2
1.49907	DL DCI Rxed	149	9	0	1	1	0	15	2
1.50107	DL DCI Rxed	150	1	0	3	1	0	15	2
1.50193	HARQ FD Txed	150	1	0	1	1	0	15	2
1.50207	DL DCI Rxed	150	2	0	3	1	0	14	2
1.50393	HARQ FD Txed	150	3	0	3	1	0	15	2
1.50407	DL DCI Rxed	150	4	0	1	1	0	15	2
1.50493	HARQ FD Txed	150	4	0	3	1	0	14	2
1.50607	DL DCI Rxed	150	6	0	3	1	0	15	2
1.50693	HARQ FD Txed	150	6	0	1	1	0	15	2
1.50893	HARQ FD Txed	150	8	0	3	1	0	15	2
1.51307	DL DCI Rxed	151	3	0	3	2	0	15	2
1.51593	HARQ FD Txed	151	5	0	3	2	0	15	2
1.52607	DL DCI Rxed	152	6	0	3	1	0	15	2
1.52707	DL DCI Rxed	152	7	0	3	2	0	15	2
1.52893	HARQ FD Txed	152	8	0	3	1	0	15	2
1.52993	HARQ FD Txed	152	9	0	3	2	0	15	2
1.53307	DL DCI Rxed	153	3	0	3	2	0	15	2
1.53593	HARQ FD Txed	153	5	0	3	2	0	15	2
1.54107	DL DCI Rxed	154	1	0	3	2	0	15	2
1.54393	HARQ FD Txed	154	3	0	3	2	0	15	2
1.54607	DL DCI Rxed	154	6	0	1	1	0	15	2
1.54707	DL DCI Rxed	154	7	0	3	2	0	15	2
1.54893	HARQ FD Txed	154	8	0	1	1	0	15	2
1.54993	HARQ FD Txed	154	9	0	3	2	0	15	2
1.55307	DL DCI Rxed	155	3	0	3	2	0	15	2
1.55593	HARQ FD Txed	155	5	0	3	2	0	15	2
1.55607	DL DCI Rxed	155	6	0	1	1	0	15	2
1.55807	DL DCI Rxed	155	8	0	1	1	0	14	2
1.55893	HARQ FD Txed	155	8	0	1	1	0	15	2
1.55907	DL DCI Rxed	155	9	0	3	2	0	15	2
1.56093	HARQ FD Txed	156	0	0	1	1	0	14	2
1.56193	HARQ FD Txed	156	1	0	3	2	0	15	2
1.56307	DL DCI Rxed	156	3	0	1	1	0	14	2
1.56507	DL DCI Rxed	156	5	0	3	2	0	15	2
1.56593	HARQ FD Txed	156	5	0	1	1	0	14	2
1.56793	HARQ FD Txed	156	7	0	3	2	0	15	2
1.57107	DL DCI Rxed	157	1	0	3	2	0	15	2
1.57393	HARQ FD Txed	157	3	0	3	2	0	15	2
1.57707	DL DCI Rxed	157	7	0	3	2	0	15	2
1.57993	HARQ FD Txed	157	9	0	3	2	0	15	2
1.58507	DL DCI Rxed	158	5	0	3	2	0	15	2
1.58793	HARQ FD Txed	158	7	0	3	2	0	15	2
1.59107	DL DCI Rxed	159	1	0	3	2	0	15	2
1.59393	HARQ FD Txed	159	3	0	3	2	0	15	2
1.59707	DL DCI Rxed	159	7	0	3	2	0	15	2
1.59993	HARQ FD Txed	159	9	0	3	2	0	15	2
1.60507	DL DCI Rxed	160	5	0	3	2	0	15	2
1.60793	HARQ FD Txed	160	7	0	3	2	0	15	2
1.61107	DL DCI Rxed	161	1	0	3	2	0	15	2
1.61393	HARQ FD Txed	161	3	0	3	2	0	15	2
1.61707	DL DCI Rxed	161	7	0	3	2	0	15	2
1.61993	HARQ FD Txed	161	9	0	3	2	0	15	2
1.62307	DL DCI Rxed	162	3	0	3	2	0	15	2
1.62593	HARQ FD Txed	162	5	0	3	2	0	15	2
1.62907	DL DCI Rxed	162	9	0	3	2	0	15	2
1.63193	HARQ FD Txed	163	1	0	3	2	0	15	2
1.63507	DL DCI Rxed	163	5	0	3	2	0	15	2
1.63793	HARQ FD Txed	163	7	0	3	2	0	15	2
1.64107	DL DCI Rxed	164	1	0	3	2	0	15	2
1.64393	HARQ FD Txed	164	3	0	3	2	0	15	2
1.64707	DL DCI Rxed	164	7	0	3	2	0	15	2
1.64993	HARQ FD Txed	164	9	0	3	2	0	15	2
1.65207	DL DCI Rxed	165	2	0	1	1	0	15	2
1.65307	DL DCI Rxed	165	3	0	3	2	0	15	2
