time(s)	cellId	rnti	lcid	packetSize
1.00507	1	1	3	60
1.02907	1	1	3	106
1.04007	1	1	3	1396
1.04107	1	1	3	1396
1.04207	1	1	3	1396
1.04307	1	1	3	1396
1.04407	1	1	3	1396
1.05007	1	1	3	1396
1.05107	1	1	3	1396
1.05207	1	1	3	386
1.07207	1	1	3	106
1.08307	1	1	3	1396
1.08407	1	1	3	1396
1.08507	1	1	3	1396
1.08607	1	1	3	1396
1.08707	1	1	3	1396
1.08907	1	1	3	1278
1.09307	1	1	3	1396
1.09507	1	1	3	448
1.09707	1	1	3	1396
1.09907	1	1	3	62
1.10507	1	2	3	60
1.11907	1	2	3	208
1.12507	1	2	3	2621
1.12607	1	2	3	2621
1.12707	1	2	3	2621
1.12807	1	2	3	2183
1.14207	1	2	3	208
1.14807	1	2	3	2621
1.14907	1	2	3	2621
1.15007	1	2	3	2621
1.15107	1	2	3	2127
1.16507	1	2	3	208
1.17107	1	2	3	2621
1.17207	1	2	3	2621
1.17307	1	2	3	2621
1.17407	1	2	3	2127
1.18807	1	2	3	208
1.19407	1	2	3	2621
1.19507	1	2	3	2401
1.19607	1	2	3	2621
1.19707	1	2	3	2347
1.20507	1	3	3	60
1.21107	1	1	3	106
1.21107	1	2	3	208
1.21707	1	2	3	2621
1.21807	1	2	3	2621
1.21907	1	2	3	2401
1.21907	1	3	3	428
1.22007	1	2	3	2347
1.22207	1	1	3	1396
1.22307	1	1	3	692
1.22407	1	1	3	692
1.22507	1	1	3	458
1.22507	1	3	3	1744
1.22607	1	1	3	692
1.22607	1	3	3	2621
1.22807	1	3	3	2621
1.22907	1	3	3	2621
1.23007	1	1	3	1044
1.23007	1	3	3	221
1.23207	1	1	3	692
1.23307	1	1	3	68
1.24307	1	3	3	428
1.24807	1	1	3	106
1.24907	1	3	3	4810
1.25007	1	3	3	4956
1.25107	1	1	3	1161
1.25207	1	1	3	1396
1.25407	1	1	3	692
1.25507	1	1	3	692
1.26107	1	1	3	1396
1.26207	1	1	3	393
1.26407	1	3	3	428
